Time	u1	y1
0	0	7
100	0	7.00000000006121
200	0	7.00000000046128
300	0	7.00000000146754
400	0	7.00000000328113
500	0	7.00000000604833
600	0	7.00000000987012
700	0	7.00000001481027
800	0	7.0000000209022
900	0	7.00000002815474
999.999999999993	0	7.00000003655701
1000	0.0035	7.00000003655701
1000.00000000001	0.0035	7.00000003655703
1100	0.0035	7.3419589483417
1200	0.0035	7.6683264097566
1300	0.0035	7.97981330561708
1400	0.0035	8.27709810826765
1500	0.0035	8.560828355414
1600	0.0035	8.83162206057418
1700	0.0035	9.090069059221
1800	0.0035	9.33673229354782
1900	0.0035	9.57214903865596
2000	0.0035	9.79683207283472
2100	0.0035	10.011270794483
2200	0.0035	10.2159322881052
2300	0.0035	10.4112623417039
2400	0.0035	10.5976864177844
2500	0.0035	10.775610580087
2600	0.0035	10.9454223780651
2700	0.0035	11.1074916910364
2800	0.0035	11.2621715338446
2900	0.0035	11.4097988257877
3000	0.0035	11.5506951244875
3100	0.0035	11.685167326298
3200	0.0035	11.8135083347796
3300	0.0035	11.9359976986943
3400	0.0035	12.0529022209113
3500	0.0035	12.1644765395507
3600	0.0035	12.2709636826293
3700	0.0035	12.372595597418
3800	0.0035	12.4695936556634
3900	0.0035	12.5621691357742
4000	0.0035	12.6505236830216
4100	0.0035	12.7348497487584
4200	0.0035	12.815331009611
4300	0.0035	12.8921427675592
4400	0.0035	12.9654523317739
4500	0.0035	13.0354193830462
4600	0.0035	13.1021963215987
4700	0.0035	13.1659285990407
4800	0.0035	13.2267550351861
4900	0.0035	13.2848081204272
5000	0.0035	13.3402143043219
5100	0.0035	13.3930942710224
5200	0.0035	13.4435632021461
5300	0.0035	13.4917310276611
5400	0.0035	13.5377026653327
5500	0.0035	13.5815782492524
5600	0.0035	13.6234533479469
5700	0.0035	13.6634191725431
5800	0.0035	13.7015627754416
5900	0.0035	13.7379672399317
6000	0.0035	13.7727118611612
6100	0.0035	13.8058723188548
6200	0.0035	13.8375208421576
6300	0.0035	13.8677263669627
6400	0.0035	13.8965546860652
6500	0.0035	13.9240685924703
6600	0.0035	13.9503280161672
6700	0.0035	13.9753901546672
6800	0.0035	13.9993095975894
6900	0.0035	14.0221384455662
7000	0.0035	14.0439264237278
7100	0.0035	14.0647209900116
7200	0.0035	14.084567438534
7300	0.0035	14.1035089982489
7400	0.0035	14.1215869271074
7500	0.0035	14.138840601925
7600	0.0035	14.1553076041507
7700	0.0035	14.1710238017264
7800	0.0035	14.1860234272128
7900	0.0035	14.2003391523544
8000	0.0035	14.2140021592435
8100	0.0035	14.2270422082406
8200	0.0035	14.2394877027976
8300	0.0035	14.251365751325
8400	0.0035	14.2627022262389
8500	0.0035	14.2735218203157
8600	0.0035	14.2838481004768
8700	0.0035	14.2937035591219
8800	0.0035	14.3031096631206
8900	0.0035	14.3120869005718
9000	0.0035	14.3206548254294
9100	0.0035	14.3288321000949
9200	0.0035	14.3366365360666
9300	0.0035	14.3440851327369
9400	0.0035	14.3511941144191
9500	0.0035	14.3579789656872
9600	0.0035	14.3644544651038
9700	0.0035	14.3706347174104
9800	0.0035	14.3765331842499
9900	0.0035	14.3821627134883
10000	0.0035	14.3875355671997
10100	0.0035	14.3926634483749
10200	0.0035	14.397557526413
10300	0.0035	14.4022284614498
10400	0.0035	14.4066864275775
10500	0.0035	14.4109411350058
10600	0.0035	14.4150018512124
10700	0.0035	14.4188774211287
10800	0.0035	14.4225762864063
10900	0.0035	14.4261065038035
11000	0.0035	14.4294757627351
11100	0.0035	14.4326914020209
11200	0.0035	14.4357604258707
11300	0.0035	14.4386895191411
11400	0.0035	14.4414850618959
11500	0.0035	14.4441531433031
11600	0.0035	14.4466995748983
11700	0.0035	14.449129903243
11800	0.0035	14.4514494220059
11900	0.0035	14.4536631834937
12000	0.0035	14.4557760096556
12100	0.0035	14.4577925025868
12200	0.0035	14.4597170545518
12300	0.0035	14.4615538575523
12400	0.0035	14.4633069124579
12500	0.0035	14.4649800377203
12600	0.0035	14.4665768776909
12700	0.0035	14.468100910559
12800	0.0035	14.4695554559274
12900	0.0035	14.4709436820431
13000	0.0035	14.4722686126989
13100	0.0035	14.473533133819
13200	0.0035	14.4747399997455
13300	0.0035	14.4758918392376
13400	0.0035	14.4769911611975
13500	0.0035	14.4780403601354
13600	0.0035	14.4790417213849
13700	0.0035	14.4799974260811
13800	0.0035	14.4809095559112
13900	0.0035	14.4817800976492
14000	0.0035	14.4826109474827
14100	0.0035	14.483403915144
14200	0.0035	14.4841607278514
14300	0.0035	14.4848830340716
14400	0.0035	14.4855724071102
14500	0.0035	14.4862303485389
14600	0.0035	14.4868582914658
14700	0.0035	14.4874576036574
14800	0.0035	14.4880295905174
14900	0.0035	14.4885754979303
15000	0.0035	14.4890965149752
15100	0.0035	14.4895937765157
15200	0.0035	14.4900683656719
15300	0.0035	14.4905213161796
15400	0.0035	14.4909536146418
15500	0.0035	14.4913662026781
15600	0.0035	14.4917599789751
15700	0.0035	14.4921358012446
15800	0.0035	14.4924944880912
15900	0.0035	14.4928368207957
16000	0.0035	14.493163545017
16100	0.0035	14.4934753724157
16200	0.0035	14.4937729822049
16300	0.0035	14.4940570226292
16400	0.0035	14.4943281123768
16500	0.0035	14.4945868419272
16600	0.0035	14.4948337748373
16700	0.0035	14.4950694489687
16800	0.0035	14.4952943776599
16900	0.0035	14.4955090508435
17000	0.0035	14.4957139361141
17100	0.0035	14.4959094797468
17200	0.0035	14.4960961076685
17300	0.0035	14.4962742263867
17400	0.0035	14.496444223874
17500	0.0035	14.4966064704138
